Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Seat Type ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼
141,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,888,1178
142,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,1294,1757
143,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,1161,1161
144,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1710,1710
145,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,355,851
146,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1017,1322
147,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1663,1663
148,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,203,1281
149,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,1320,1698
150,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,1500,1500
151,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1416,1416
152,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),2185,2185
153,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1312,1450
154,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,2419,2481
155,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,560,1479
156,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,2837,2964
157,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,1796,1955
158,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,3913,3913
159,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1714,2190
160,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,2771,2994
161,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,252,3091
162,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,3860,4632
163,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,3292,3883
164,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,3266,4324
165,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,3278,3279
166,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,488,1908
167,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,2201,2747
168,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,1989,2359
169,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,2360,2360
170,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1956,3023
171,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Civil And Environmental Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,4236,4705
172,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,439,771
173,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,1115,1115
174,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1778,1778
175,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,977,977
176,Round 1,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, MALDA",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,2524,2524
177,Round 1,"ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT, MOGRA, HOOGHLY",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,397,4360
178,Round 1,"ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT, MOGRA, HOOGHLY",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1836,4273
179,Round 1,"ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT, MOGRA, HOOGHLY",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3297,3399
180,Round 1,"ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT, MOGRA, HOOGHLY",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2093,4401
181,Round 1,"ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT, MOGRA, HOOGHLY",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2712,3380
182,Round 1,"ACADEMY OF TECHNOLOGY, ADISAPTAGRAM, HOOGHLY",Electrical & Electronics Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3358,4198
183,Round 1,"ACADEMY OF TECHNOLOGY, ADISAPTAGRAM, HOOGHLY",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2120,3777
184,Round 1,"ACADEMY OF TECHNOLOGY, ADISAPTAGRAM, HOOGHLY",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2866,4433
185,Round 1,"ACADEMY OF TECHNOLOGY, ADISAPTAGRAM, HOOGHLY",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,986,4226
186,Round 1,"ACADEMY OF TECHNOLOGY, ADISAPTAGRAM, HOOGHLY",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1066,4287
187,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3007,4142
188,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2969,3444
189,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2517,2517
190,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2577,4470
191,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,812,4642
192,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4726,4726
193,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",ELECTRONICS & COMPUTER SCIENCE,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2320,2320
194,Round 1,"ASANSOL ENGINEERING COLLEGE, ASANSOL, BURDWAN",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3061,3268
195,Round 1,"B.P. PODDAR INSTITUTE OF MANAGEMENT & TECHNOLOGY, KOLKATA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3315,3315
196,Round 1,"B.P. PODDAR INSTITUTE OF MANAGEMENT & TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4605,4605
197,Round 1,"B.P. PODDAR INSTITUTE OF MANAGEMENT & TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2687,4665
198,Round 1,"BANKURA UNNAYANI INSTITUTE OF ENGINEERING, BANKURA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2139,3976
199,Round 1,"BANKURA UNNAYANI INSTITUTE OF ENGINEERING, BANKURA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3344,3807
200,Round 1,"BANKURA UNNAYANI INSTITUTE OF ENGINEERING, BANKURA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3127,3127
201,Round 1,"BANKURA UNNAYANI INSTITUTE OF ENGINEERING, BANKURA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2584,2584
202,Round 1,"BANKURA UNNAYANI INSTITUTE OF ENGINEERING, BANKURA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3216,4528
203,Round 1,"BCDA COLLEGE OF PHARMACY & TECHNOLOGY, HRIDAYPUR, MADHYAMGRAM",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,60,197
204,Round 1,"BENGAL COLLEGE OF ENGINEERING & TECHNOLOGY, DURGAPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3590,3608
205,Round 1,"BENGAL COLLEGE OF ENGINEERING & TECHNOLOGY, DURGAPUR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2403,2403
206,Round 1,"BENGAL COLLEGE OF ENGINEERING & TECHNOLOGY, DURGAPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1511,4696
207,Round 1,"BENGAL COLLEGE OF ENGINEERING & TECHNOLOGY, DURGAPUR",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4660,4660
208,Round 1,"BENGAL COLLEGE OF PHARMACEUTICAL SCIENCE & RESEARCH, DURGAPUR",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,158,579
209,Round 1,"BENGAL INSTITUTE OF TECHNOLOGY & MANAGEMENT, SANTINIKETAN",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2921,2921
210,Round 1,"BENGAL INSTITUTE OF TECHNOLOGY & MANAGEMENT, SANTINIKETAN",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3927,3927
211,Round 1,"BENGAL INSTITUTE OF TECHNOLOGY & MANAGEMENT, SANTINIKETAN",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2755,2755
212,Round 1,"BENGAL INSTITUTE OF TECHNOLOGY & MANAGEMENT, SANTINIKETAN",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,517,729
213,Round 1,"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,34,212
214,Round 1,"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,OBC - A,498,498
215,Round 1,"BHARAT TECHNOLOGY, ULUBERIA, HOWRAH",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,169,566
216,Round 1,"BIRBHUM INSTITUTE OF ENGINEERING & TECHNOLOGY, SURI, BIRBHUM",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1358,1575
217,Round 1,"BIRBHUM INSTITUTE OF ENGINEERING & TECHNOLOGY, SURI, BIRBHUM",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3792,4618
218,Round 1,"BUDGE BUDGE INSTITUTE OF TECHNOLOGY, BUDGE-BUDGE",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3379,3379
219,Round 1,"BUDGE BUDGE INSTITUTE OF TECHNOLOGY, BUDGE-BUDGE",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4232,4232
220,Round 1,"BUDGE BUDGE INSTITUTE OF TECHNOLOGY, BUDGE-BUDGE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1975,3772
221,Round 1,"BUDGE BUDGE INSTITUTE OF TECHNOLOGY, BUDGE-BUDGE",Computer Science & Engineering (Artificial Intelligence),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2070,2070
222,Round 1,"CALCUTTA INSTITUTE OF ENGINEERING & MANAGEMENT, TOLLYGUNGE, KOLKATA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1983,1983
223,Round 1,"CALCUTTA INSTITUTE OF ENGINEERING & MANAGEMENT, TOLLYGUNGE, KOLKATA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,537,4009
224,Round 1,"CALCUTTA INSTITUTE OF ENGINEERING & MANAGEMENT, TOLLYGUNGE, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,833,2996
225,Round 1,"CALCUTTA INSTITUTE OF ENGINEERING & MANAGEMENT, TOLLYGUNGE, KOLKATA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3254,3254
226,Round 1,"CALCUTTA INSTITUTE OF PHARMACEUTICAL TECH. & ALLIED HEALTH SCIENCES, ULUBERIA",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,51,462
227,Round 1,"CALCUTTA INSTITUTE OF TECHNOLOGY, ULUBERIA, HOWRAH",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1886,3040
228,Round 1,"CALCUTTA INSTITUTE OF TECHNOLOGY, ULUBERIA, HOWRAH",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2214,2214
229,Round 1,"CALCUTTA INSTITUTE OF TECHNOLOGY, ULUBERIA, HOWRAH",Chemical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2780,4700
230,Round 1,"CALCUTTA INSTITUTE OF TECHNOLOGY, ULUBERIA, HOWRAH",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2036,3890
231,Round 1,"CAMELLIA INSTITUTE OF ENGINEERING AND TECHNOLOGY, BUD BUD, BURDWAN",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2052,4201
232,Round 1,"CAMELLIA INSTITUTE OF ENGINEERING AND TECHNOLOGY, BUD BUD, BURDWAN",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,464,3570
233,Round 1,"CAMELLIA INSTITUTE OF ENGINEERING AND TECHNOLOGY, BUD BUD, BURDWAN",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4143,4435
234,Round 1,"CAMELLIA INSTITUTE OF TECHNOLOGY & MANAGEMENT, BAINCHI, HOOGHLY",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3946,3946
235,Round 1,"CAMELLIA INSTITUTE OF TECHNOLOGY, BADU ROAD, MADHYAMGRAM",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2421,2421
236,Round 1,"CAMELLIA SCHOOL OF ENGINEERING & TECHNOLOGY, BARASAT",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3060,4163
237,Round 1,"CAMELLIA SCHOOL OF ENGINEERING & TECHNOLOGY, BARASAT",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4101,4101
238,Round 1,"COLLEGE OF ENGINEERING AND MANAGEMENT, KOLAGHAT",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1855,4262
239,Round 1,"COLLEGE OF ENGINEERING AND MANAGEMENT, KOLAGHAT",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1776,1776
240,Round 1,"COLLEGE OF ENGINEERING AND MANAGEMENT, KOLAGHAT",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1160,4691
241,Round 1,"COLLEGE OF ENGINEERING AND MANAGEMENT, KOLAGHAT",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3760,4157
242,Round 1,"DR. B. C. ROY COLLEGE OF PHARMACY AND ALLIED HEALTH SCIENCES, DURGAPUR",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,49,332
243,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2395,3671
244,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2355,2355
245,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3604,4351
246,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2308,4546
247,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Computer Science & Engineering (Cyber Security),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1067,1067
248,Round 1,"DR. B. C. ROY ENGINEERING COLLEGE, DURGAPUR",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4025,4415
249,Round 1,"DR.SUDHIR CHANDRA SUR INSTITUTE OF TECHNOLOGY AND SPORTS COMPLEX, DUM DUM",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1736,1736
250,Round 1,"DR.SUDHIR CHANDRA SUR INSTITUTE OF TECHNOLOGY AND SPORTS COMPLEX, DUM DUM",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1718,3716
251,Round 1,"DR.SUDHIR CHANDRA SUR INSTITUTE OF TECHNOLOGY AND SPORTS COMPLEX, DUM DUM",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3440,4282
252,Round 1,"DUMKAL INSTITUTE OF ENGINEERING & TECHNOLOGY, DUMKAL, MURSHIDABAD",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2423,2423
253,Round 1,"DUMKAL INSTITUTE OF ENGINEERING & TECHNOLOGY, DUMKAL, MURSHIDABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1556,3776
254,Round 1,"DURGAPUR INSTITUTE OF ADVANCED TECHNOLOGY & MANAGEMENT, DURGAPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,408,4666
255,Round 1,"ELITTE COLLEGE OF ENGINEERING,MAHISPOTA, SODEPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,919,919
256,Round 1,"ELITTE COLLEGE OF ENGINEERING,MAHISPOTA, SODEPUR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,4159,4159
257,Round 1,"ELITTE COLLEGE OF ENGINEERING,MAHISPOTA, SODEPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3000,3247
258,Round 1,"FUTURE INSTITUTE OF ENGINEERING & MANAGEMENT, SONARPUR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2242,3074
259,Round 1,"FUTURE INSTITUTE OF ENGINEERING & MANAGEMENT, SONARPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2554,4599
260,Round 1,"FUTURE INSTITUTE OF TECHNOLOGY, BORAL, GARIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3460,3460
261,Round 1,"GARGI MEMORIAL INSTITUTE OF TECHNOLOGY, BARUIPUR, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2582,3043
262,Round 1,"GLOBAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, KRISHNANAGAR, NADIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,668,4428
263,Round 1,"GLOBAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, KRISHNANAGAR, NADIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,153,1835
264,Round 1,"GLOBAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, KRISHNANAGAR, NADIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,2571,4552
265,Round 1,"GREATER KOLKATA COLLEGE OF ENGINEERING & MANAGEMENT, BARUIPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3921,3921
266,Round 1,"GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES, ASANSOL, BURDWAN",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,36,315
267,Round 1,"GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES, ASANSOL, BURDWAN",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,EWS,413,413
268,Round 1,"GURU NANAK INSTITUTE OF PHARMACEUTICAL SCIENCE AND TECHNOLOGY, SODEPUR",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,All India,Open,41,251
269,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,755,3767
270,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1410,4676
271,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1566,4411
272,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",Food Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1617,4714
273,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",Computer Science & Engineering (Cyber Security),B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3575,4476
274,Round 1,"GURU NANAK INSTITUTE OF TECHNOLOGY, PANIHATI, SODEPUR",ELECTRONICS & COMPUTER SCIENCE,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,3277,3277
275,Round 1,"HALDIA INSTITUTE OF TECHNOLOGY, HALDIA, PURBA MEDINIPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,1677,4440
276,Round 1,"HALDIA INSTITUTE OF TECHNOLOGY, HALDIA, PURBA MEDINIPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,All India,Open,196,1940
